Week,bitcoin: (Worldwide)
3/24/13,4
3/31/13,6
4/7/13,11
4/14/13,6
4/21/13,3
4/28/13,3
5/5/13,3
5/12/13,2
5/19/13,2
5/26/13,2
6/2/13,2
6/9/13,2
6/16/13,1
6/23/13,2
6/30/13,2
7/7/13,2
7/14/13,1
7/21/13,1
7/28/13,1
8/4/13,1
8/11/13,2
8/18/13,2
8/25/13,2
9/1/13,1
9/8/13,1
9/15/13,1
9/22/13,1
9/29/13,2
10/6/13,2
10/13/13,2
10/20/13,2
10/27/13,5
11/3/13,5
11/10/13,5
11/17/13,11
11/24/13,14
12/1/13,14
12/8/13,10
12/15/13,10
12/22/13,7
12/29/13,6
1/5/14,7
1/12/14,6
1/19/14,6
1/26/14,6
2/2/14,5
2/9/14,7
2/16/14,6
2/23/14,10
3/2/14,9
3/9/14,5
3/16/14,4
3/23/14,4
3/30/14,4
4/6/14,3
4/13/14,3
4/20/14,3
4/27/14,3
5/4/14,2
5/11/14,2
5/18/14,2
5/25/14,3
6/1/14,3
6/8/14,3
6/15/14,3
6/22/14,2
6/29/14,2
7/6/14,2
7/13/14,2
7/20/14,2
7/27/14,2
8/3/14,2
8/10/14,3
8/17/14,3
8/24/14,2
8/31/14,2
9/7/14,3
9/14/14,2
9/21/14,2
9/28/14,2
10/5/14,3
10/12/14,2
10/19/14,2
10/26/14,2
11/2/14,2
11/9/14,3
11/16/14,2
11/23/14,2
11/30/14,2
12/7/14,2
12/14/14,2
12/21/14,3
12/28/14,2
1/4/15,2
1/11/15,3
1/18/15,2
1/25/15,2
2/1/15,2
2/8/15,2
2/15/15,2
2/22/15,2
3/1/15,2
3/8/15,2
3/15/15,2
3/22/15,2
3/29/15,2
4/5/15,2
4/12/15,2
4/19/15,2
4/26/15,2
5/3/15,2
5/10/15,2
5/17/15,2
5/24/15,2
5/31/15,2
6/7/15,2
6/14/15,2
6/21/15,2
6/28/15,2
7/5/15,2
7/12/15,2
7/19/15,2
7/26/15,2
8/2/15,2
8/9/15,2
8/16/15,2
8/23/15,2
8/30/15,2
9/6/15,2
9/13/15,2
9/20/15,2
9/27/15,2
10/4/15,2
10/11/15,2
10/18/15,2
10/25/15,2
11/1/15,4
11/8/15,3
11/15/15,2
11/22/15,2
11/29/15,2
12/6/15,4
12/13/15,3
12/20/15,3
12/27/15,2
1/3/16,3
1/10/16,3
1/17/16,3
1/24/16,2
1/31/16,2
2/7/16,2
2/14/16,3
2/21/16,2
2/28/16,2
3/6/16,2
3/13/16,2
3/20/16,2
3/27/16,2
4/3/16,2
4/10/16,2
4/17/16,2
4/24/16,3
5/1/16,4
5/8/16,3
5/15/16,2
5/22/16,2
5/29/16,3
6/5/16,3
6/12/16,4
6/19/16,4
6/26/16,3
7/3/16,3
7/10/16,3
7/17/16,3
7/24/16,3
7/31/16,4
8/7/16,3
8/14/16,2
8/21/16,2
8/28/16,2
9/4/16,3
9/11/16,3
9/18/16,3
9/25/16,2
10/2/16,2
10/9/16,3
10/16/16,3
10/23/16,3
10/30/16,3
11/6/16,3
11/13/16,3
11/20/16,3
11/27/16,3
12/4/16,3
12/11/16,3
12/18/16,4
12/25/16,5
1/1/17,7
1/8/17,6
1/15/17,4
1/22/17,4
1/29/17,4
2/5/17,5
2/12/17,4
2/19/17,5
2/26/17,6
3/5/17,7
3/12/17,6
3/19/17,6
3/26/17,5
4/2/17,5
4/9/17,5
4/16/17,5
4/23/17,5
4/30/17,7
5/7/17,10
5/14/17,11
5/21/17,19
5/28/17,12
6/4/17,12
6/11/17,13
6/18/17,11
6/25/17,11
7/2/17,9
7/9/17,10
7/16/17,12
7/23/17,11
7/30/17,15
8/6/17,15
8/13/17,20
8/20/17,16
8/27/17,17
9/3/17,18
9/10/17,21
9/17/17,16
9/24/17,13
10/1/17,13
10/8/17,19
10/15/17,20
10/22/17,21
10/29/17,28
11/5/17,29
11/12/17,32
11/19/17,28
11/26/17,67
12/3/17,92
12/10/17,86
12/17/17,100
12/24/17,64
12/31/17,48
1/7/18,47
1/14/18,58
1/21/18,38
1/28/18,41
2/4/18,47
2/11/18,28
2/18/18,24
2/25/18,19
3/4/18,20
3/11/18,19
3/18/18,20
